色号,HEX,R,G,B
A1,#faf5cd,250,245,205
A2,#fcfed6,252,254,214
A3,#fcff92,252,255,146
A4,#f7ec5c,247,236,92
A5,#f0d83a,240,216,58
A6,#fda951,253,169,81
A7,#fa8c4f,250,140,79
A8,#fbda4d,251,218,77
A9,#f79d5f,247,157,95
A10,#f47e38,244,126,56
A11,#fedb99,254,219,153
A12,#fda276,253,162,118
A13,#fec667,254,198,103
A14,#f75842,247,88,66
A15,#fbf65e,251,246,94
A16,#feff97,254,255,151
A17,#fde173,253,225,115
A18,#fcbf80,252,191,128
A19,#fd7e77,253,126,119
A20,#f9d666,249,214,102
A21,#fae393,250,227,147
A22,#edf878,237,248,120
A23,#e4c8ba,228,200,186
A24,#f3f6a9,243,246,169
A25,#fdf785,253,247,133
A26,#ffc734,255,199,52
B1,#dff13b,223,241,59
B2,#64f343,100,243,67
B3,#a1f586,161,245,134
B4,#5fdf34,95,223,52
B5,#39e158,57,225,88
B6,#64e0a4,100,224,164
B7,#3eae7c,62,174,124
B8,#1d9b54,29,155,84
B9,#2a5037,42,80,55
B10,#9ad1ba,154,209,186
B11,#627032,98,112,50
B12,#1a6e3d,26,110,61
B13,#c8e87d,200,232,125
B14,#abe84f,171,232,79
B15,#305335,48,83,53
B16,#c0ed9c,192,237,156
B17,#9eb33e,158,179,62
B18,#e6ed4f,230,237,79
B19,#26b78e,38,183,142
B20,#cbeccf,203,236,207
B21,#18616a,24,97,106
B22,#0a4241,10,66,65
B23,#343b1a,52,59,26
B24,#e8faa6,232,250,166
B25,#4e846d,78,132,109
B26,#907c35,144,124,53
B27,#d0e0af,208,224,175
B28,#9ee5bb,158,229,187
B29,#c6df5f,198,223,95
B30,#e3fbb1,227,251,177
B31,#b4e691,180,230,145
B32,#92ad60,146,173,96
C1,#f0fee4,240,254,228
C2,#abf8fe,171,248,254
C3,#a2e0f7,162,224,247
C4,#44cdfb,68,205,251
C5,#06aadf,6,170,223
C6,#54a7e9,84,167,233
C7,#3977ca,57,119,202
C8,#0f52bd,15,82,189
C9,#3349c3,51,73,195
C10,#3cbce3,60,188,227
C11,#2aded3,42,222,211
C12,#1e334e,30,51,78
C13,#cde7fe,205,231,254
C14,#d5fcf7,213,252,247
C15,#21c5c4,33,197,196
C16,#1858a2,24,88,162
C17,#02d1f3,2,209,243
C18,#213244,33,50,68
C19,#18869d,24,134,157
C20,#1a70a9,26,112,169
C21,#bcddfc,188,221,252
C22,#6bb1bb,107,177,187
C23,#c8e2fd,200,226,253
C24,#7ec5f9,126,197,249
C25,#a9e8e0,169,232,224
C26,#42adcf,66,173,207
C27,#d0def9,208,222,249
C28,#bdcee8,189,206,232
C29,#364a89,54,74,137
D1,#acb7ef,172,183,239
D2,#868dd3,134,141,211
D3,#3554af,53,84,175
D4,#162d7b,22,45,123
D5,#b34ec6,179,78,198
D6,#b37bdc,179,123,220
D7,#8758a9,135,88,169
D8,#e3d2fe,227,210,254
D9,#d5b9f4,213,185,244
D10,#301a49,48,26,73
D11,#beb9e2,190,185,226
D12,#dc99ce,220,153,206
D13,#b5038d,181,3,141
D14,#862993,134,41,147
D15,#2f1f8c,47,31,140
D16,#e2e4f0,226,228,240
D17,#c7d3f9,199,211,249
D18,#9a64b8,154,100,184
D19,#d8c2d9,216,194,217
D20,#9a35ad,154,53,173
D21,#940595,148,5,149
D22,#38389a,56,56,154
D23,#eadbf8,234,219,248
D24,#768ae1,118,138,225
D25,#4950c2,73,80,194
D26,#d6c6eb,214,198,235
E1,#f6d4cb,246,212,203
E2,#fcc1dd,252,193,221
E3,#f6bde8,246,189,232
E4,#e8649e,232,100,158
E5,#f0569f,240,86,159
E6,#eb4172,235,65,114
E7,#c53674,197,54,116
E8,#fddbe9,253,219,233
E9,#e376c7,227,118,199
E10,#d13b95,209,59,149
E11,#f7dad4,247,218,212
E12,#f693bf,246,147,191
E13,#b5026a,181,2,106
E14,#fad4bf,250,212,191
E15,#f5c9ca,245,201,202
E16,#fbf4ec,251,244,236
E17,#f7e3ec,247,227,236
E18,#f9c8db,249,200,219
E19,#f6bbd1,246,187,209
E20,#d7c6ce,215,198,206
E21,#c09da4,192,157,164
E22,#b38c9f,179,140,159
E23,#937d8a,147,125,138
E24,#debee5,222,190,229
F1,#fe9381,254,147,129
